  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
 24844 | Sasha (voice)                                                 |                   6 |     3310 |       1045277
 24845 | Anna (voice)                                                  |                  10 |     3310 |         47153
 24846 | Svip (voice)                                                  |                   0 |     3310 |        223684
 24847 | Joe (voice)                                                   |                   4 |     3310 |         73093
 24848 | Mother (voice)                                                |                   9 |     3310 |          4458
 24849 | Crab (voice)                                                  |                   7 |     3310 |          1024
 24850 | Shark (voice)                                                 |                   5 |     3310 |         73213
 24851 | Bus Driver (voice)                                            |                  11 |     3310 |         31960
 24852 | Stella (voice)                                                |                   1 |     3310 |       2678373
 24853 | Plum (voice)                                                  |                   2 |     3310 |       2591187
 24854 | Sea Bass (voice)                                              |                  12 |     3310 |          3891
 24855 | Zane (voice)                                                  |                   7 |     3311 |        464993
 24856 | Kid                                                           |                  25 |     3311 |       1877487
 24689 | Additional Voices (voice)                                     |                  47 |     3304 |        966022
 24690 | Joker (voice)                                                 |                   4 |     3304 |         58225
 24691 | Additional Voices (voice)                                     |                  38 |     3304 |       1370755
 24692 | Additional Voices (voice)                                     |                  44 |     3304 |       1438652
 24693 | The Riddler (voice)                                           |                   7 |     3304 |         81200
 24694 | Pilot Bill / Additional Voices (voice)                        |                  29 |     3304 |        144816
 24695 | Reporter Pippa (voice)                                        |                  24 |     3304 |         61409
 24696 | Bane (voice)                                                  |                   8 |     3304 |        143073
 24697 | Sauron (voice)                                                |                  15 |     3304 |         55936
 24698 | Additional Voices (voice)                                     |                  37 |     3304 |       1814581
 24699 | Additional Voices (voice)                                     |                  31 |     3304 |       2136772
 24700 | Chief O'Hara / Medusa / Additional Voices (voice)             |                  22 |     3304 |       1832032
 24701 | Superman (voice)                                              |                  17 |     3304 |         38673
 24702 | Additional Voices (voice)                                     |                  39 |     3304 |       1370757
 24703 | Additional Voices (voice)                                     |                  48 |     3304 |       1218988
 24704 | Additional Voices (voice)                                     |                  32 |     3304 |       2136773
 24705 | Reporter #2 (voice)                                           |                  26 |     3304 |         60286
 24706 | Additional Voices (voice)                                     |                  40 |     3304 |       2136776
 24707 | Reporter #1 (voice)                                           |                  25 |     3304 |        188559
 24708 | Additional Voices (voice)                                     |                  43 |     3304 |       2136780
 24709 | Two-Face (voice)                                              |                   9 |     3304 |          3799
 24710 | Peter                                                         |                   2 |     3305 |        143391
 24711 | Anne                                                          |                   0 |     3305 |          4460
 24712 | Boy in Court                                                  |                  13 |     3305 |       2117343
 24713 | Defendant                                                     |                  18 |     3305 |       1934697
 24714 | Frida                                                         |                   3 |     3305 |       2407274
 24715 | Janus                                                         |                  10 |     3305 |       2407277
 24716 | Thomas                                                        |                  11 |     3305 |        582347
 24717 | Ellen                                                         |                  12 |     3305 |       2130931
 24718 | Social Worker                                                 |                  15 |     3305 |       2407279
 24719 | Clerk                                                         |                  17 |     3305 |       2407281
 24720 | Cecilie                                                       |                   7 |     3305 |        582051
 24721 | Assistant                                                     |                  16 |     3305 |       2407280
 24722 | Lucas                                                         |                  14 |     3305 |       2407278
 24723 | Amanda                                                        |                   9 |     3305 |       2038233
 24724 | Erik                                                          |                   6 |     3305 |         73214
 24725 | Gustav                                                        |                   1 |     3305 |       1428295
 24726 | Lina                                                          |                   5 |     3305 |       2407275
 24727 | Sara                                                          |                   8 |     3305 |       1518350
 24728 | Fanny                                                         |                   4 |     3305 |       2407273
 24729 | TV Reporter (uncredited)                                      |                  52 |     3306 |       2067321
 24730 | Henrik Vanger                                                 |                   3 |     3306 |         87723
 24731 | Police in Dalarna                                             |                  25 |     3306 |       1136696
 24732 | Isabella Vanger                                               |                  19 |     3306 |          6662
 24733 | Gottfried Vanger                                              |                  39 |     3306 |       2963382
 24734 | Police Inspector (uncredited)                                 |                  47 |     3306 |       2018075
 24735 | Gang Member (uncredited)                                      |                  46 |     3306 |       2650435
 24736 | Journalist / Murder Victim (uncredited)                       |                  45 |     3306 |       1544577
 24737 | Hans-Erik Wennerström                                         |                  15 |     3306 |         55886
 24738 | Young Harriet Vanger                                          |                  36 |     3306 |       1202865
 24739 | Mimmi Wu                                                      |                  22 |     3306 |        234908
 24740 | Enrico Giannini                                               |                  21 |     3306 |        544030
 24741 | Huligan #2                                                    |                  32 |     3306 |        144691
 24742 | Birgit Falk (uncredited)                                      |                  51 |     3306 |       1883061
 24743 | Marie (uncredited)                                            |                  42 |     3306 |       2808479
 24744 | Nils Bjurman                                                  |                   5 |     3306 |         21193
 24745 | Plague                                                        |                  13 |     3306 |         87727
 24746 | Christer Malm                                                 |                  18 |     3306 |         83895
 24747 | Prison Guard Anette (uncredited)                              |                  44 |     3306 |       1073421
 24748 | Jennie Giannini                                               |                  37 |     3306 |       3493436
 24749 | Gunnar Brännlund                                              |                  17 |     3306 |         71356
 24750 | Alexander Zalachenko                                          |                  23 |     3306 |         92645
 24751 | Huligan #3                                                    |                  33 |     3306 |       1653562
 24752 | Man (uncredited)                                              |                  41 |     3306 |       1593589
 24753 | Agneta Salander                                               |                  24 |     3306 |       1823438
 24754 | Harald Vanger                                                 |                  16 |     3306 |         87725
 24755 | Mikael Blomkvist                                              |                   0 |     3306 |          6283
 24756 | Older Lady                                                    |                  20 |     3306 |         73071
 24757 | Harriet Vanger                                                |                   9 |     3306 |         46866
 24758 | Erika Berger                                                  |                   2 |     3306 |         79196
 24759 | Martin Vanger                                                 |                   4 |     3306 |         74709
 24760 | Young Lisbeth Salander                                        |                  35 |     3306 |        144137
